set_id	syn_set	first_syn	query_long	query_short	query_short_translated	query_long_translated	class_id
n01440764	tench, Tinca tinca	tench	a photo of a tench	a tench	una tinca	una foto di una tinca	1
n01443537	goldfish, Carassius auratus	goldfish	a photo of a goldfish	a goldfish	un pesce rosso	una foto di un pesce rosso	2
n01484850	great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias	great white shark	a photo of a great white shark	a great white shark	un grande squalo bianco	una foto di un grande squalo bianco	3
n01491361	tiger shark, Galeocerdo cuvieri	tiger shark	a photo of a tiger shark	a tiger shark	uno squalo tigre	una foto di uno squalo tigre	4
n01494475	hammerhead, hammerhead shark	hammerhead	a photo of a hammerhead	a hammerhead	un pesce martello	una foto di un pesce martello	5
n01496331	electric ray, crampfish, numbfish, torpedo	electric ray	a photo of a electric ray	a electric ray	un raggio elettrico	una foto di un raggio elettrico	6
n01498041	stingray	stingray	a photo of a stingray	a stingray	una pastinaca	una foto di una pastinaca	7
n01514668	cock	cock	a photo of a cock	a cock	un gallo	una foto di un gallo	8
n01514859	hen	hen	a photo of a hen	a hen	una gallina	una foto di una gallina	9
n01518878	ostrich, Struthio camelus	ostrich	a photo of a ostrich	a ostrich	uno struzzo	una foto di uno struzzo	10
n01530575	brambling, Fringilla montifringilla	brambling	a photo of a brambling	a brambling	un rovo	una foto di un rovo	11
n01531178	goldfinch, Carduelis carduelis	goldfinch	a photo of a goldfinch	a goldfinch	un cardellino	una foto di un cardellino	12
n01532829	house finch, linnet, Carpodacus mexicanus	house finch	a photo of a house finch	a house finch	un fringuello di casa	una foto di un fringuello di casa	13
n01534433	junco, snowbird	junco	a photo of a junco	a junco	un giunco	una foto di un giunco	14
n01537544	indigo bunting, indigo finch, indigo bird, Passerina cyanea	indigo bunting	a photo of a indigo bunting	a indigo bunting	uno zigolo indaco	una foto di uno zigolo indaco	15
n01558993	robin, American robin, Turdus migratorius	robin	a photo of a robin	a robin	un pettirosso	una foto di un pettirosso	16
n01560419	bulbul	bulbul	a photo of a bulbul	a bulbul	un bulbul	una foto di un bulbul	17
n01580077	jay	jay	a photo of a jay	a jay	una ghiandaia	una foto di una ghiandaia	18
n01582220	magpie	magpie	a photo of a magpie	a magpie	una gazza	una foto di una gazza	19
n01592084	chickadee	chickadee	a photo of a chickadee	a chickadee	una cinciallegra	una foto di una cinciallegra	20
n01601694	water ouzel, dipper	water ouzel	a photo of a water ouzel	a water ouzel	un'ouzel d'acqua	una foto di un'ouzel d'acqua	21
n01608432	kite	kite	a photo of a kite	a kite	un aquilone	una foto di un aquilone	22
n01614925	bald eagle, American eagle, Haliaeetus leucocephalus	bald eagle	a photo of a bald eagle	a bald eagle	un'aquila calva	una foto di un'aquila calva	23
n01616318	vulture	vulture	a photo of a vulture	a vulture	un avvoltoio	una foto di un avvoltoio	24
n01622779	great grey owl, great gray owl, Strix nebulosa	great grey owl	a photo of a great grey owl	a great grey owl	un grande gufo grigio	una foto di un grande gufo grigio	25
n01629819	European fire salamander, Salamandra salamandra	European fire salamander	a photo of a European fire salamander	a European fire salamander	una salamandra da fuoco europea	una foto di una salamandra da fuoco europea	26
n01630670	common newt, Triturus vulgaris	common newt	a photo of a common newt	a common newt	un tritone comune	una foto di un tritone comune	27
n01631663	eft	eft	a photo of a eft	a eft	a eft	una foto di a eft	28
n01632458	spotted salamander, Ambystoma maculatum	spotted salamander	a photo of a spotted salamander	a spotted salamander	una salamandra pezzata	una foto di una salamandra pezzata	29
n01632777	axolotl, mud puppy, Ambystoma mexicanum	axolotl	a photo of a axolotl	a axolotl	un axolotl	una foto di un axolotl	30
n01641577	bullfrog, Rana catesbeiana	bullfrog	a photo of a bullfrog	a bullfrog	una rana toro	una foto di una rana toro	31
n01644373	tree frog, tree-frog	tree frog	a photo of a tree frog	a tree frog	una raganella	una foto di una raganella	32
n01644900	tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui	tailed frog	a photo of a tailed frog	a tailed frog	una rana con la coda	una foto di una rana con la coda	33
n01664065	loggerhead, loggerhead turtle, Caretta caretta	loggerhead	a photo of a loggerhead	a loggerhead	una testa di toro	una foto di una testa di toro	34
n01665541	leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea	leatherback turtle	a photo of a leatherback turtle	a leatherback turtle	una tartaruga di cuoio	una foto di una tartaruga di cuoio	35
n01667114	mud turtle	mud turtle	a photo of a mud turtle	a mud turtle	una tartaruga di fango	una foto di una tartaruga di fango	36
n01667778	terrapin	terrapin	a photo of a terrapin	a terrapin	una tartaruga	una foto di una tartaruga	37
n01669191	box turtle, box tortoise	box turtle	a photo of a box turtle	a box turtle	una tartaruga di scatola	una foto di una tartaruga di scatola	38
n01675722	banded gecko	banded gecko	a photo of a banded gecko	a banded gecko	un geco a bande	una foto di un geco a bande	39
n01677366	common iguana, iguana, Iguana iguana	common iguana	a photo of a common iguana	a common iguana	un'iguana comune	una foto di un'iguana comune	40
n01682714	American chameleon, anole, Anolis carolinensis	American chameleon	a photo of a American chameleon	a American chameleon	un camaleonte americano	una foto di un camaleonte americano	41
n01685808	whiptail, whiptail lizard	whiptail	a photo of a whiptail	a whiptail	una coda di frusta	una foto di una coda di frusta	42
n01687978	agama	agama	a photo of a agama	a agama	a agama	una foto di a agama	43
n01688243	frilled lizard, Chlamydosaurus kingi	frilled lizard	a photo of a frilled lizard	a frilled lizard	una lucertola con le ali	una foto di una lucertola con le ali	44
n01689811	alligator lizard	alligator lizard	a photo of a alligator lizard	a alligator lizard	una lucertola alligatore	una foto di una lucertola alligatore	45
n01692333	Gila monster, Heloderma suspectum	Gila monster	a photo of a Gila monster	a Gila monster	un mostro di Gila	una foto di un mostro di Gila	46
n01693334	green lizard, Lacerta viridis	green lizard	a photo of a green lizard	a green lizard	una lucertola verde	una foto di una lucertola verde	47
n01694178	African chameleon, Chamaeleo chamaeleon	African chameleon	a photo of a African chameleon	a African chameleon	un camaleonte africano	una foto di un camaleonte africano	48
n01695060	Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis	Komodo dragon	a photo of a Komodo dragon	a Komodo dragon	un drago di Komodo	una foto di un drago di Komodo	49
n01697457	African crocodile, Nile crocodile, Crocodylus niloticus	African crocodile	a photo of a African crocodile	a African crocodile	un coccodrillo africano	una foto di un coccodrillo africano	50
n01698640	American alligator, Alligator mississipiensis	American alligator	a photo of a American alligator	a American alligator	un alligatore americano	una foto di un alligatore americano	51
n01704323	triceratops	triceratops	a photo of a triceratops	a triceratops	un triceratopo	una foto di un triceratopo	52
n01728572	thunder snake, worm snake, Carphophis amoenus	thunder snake	a photo of a thunder snake	a thunder snake	un serpente di tuono	una foto di un serpente di tuono	53
n01728920	ringneck snake, ring-necked snake, ring snake	ringneck snake	a photo of a ringneck snake	a ringneck snake	un serpente ringneck	una foto di un serpente ringneck	54
n01729322	hognose snake, puff adder, sand viper	hognose snake	a photo of a hognose snake	a hognose snake	un serpente hognose	una foto di un serpente hognose	55
n01729977	green snake, grass snake	green snake	a photo of a green snake	a green snake	un serpente verde	una foto di un serpente verde	56
n01734418	king snake, kingsnake	king snake	a photo of a king snake	a king snake	un serpente re	una foto di un serpente re	57
n01735189	garter snake, grass snake	garter snake	a photo of a garter snake	a garter snake	un serpente giarrettiera	una foto di un serpente giarrettiera	58
n01737021	water snake	water snake	a photo of a water snake	a water snake	un serpente d'acqua	una foto di un serpente d'acqua	59
n01739381	vine snake	vine snake	a photo of a vine snake	a vine snake	un serpente a forma di vite	una foto di un serpente a forma di vite	60
n01740131	night snake, Hypsiglena torquata	night snake	a photo of a night snake	a night snake	un serpente notturno	una foto di un serpente notturno	61
n01742172	boa constrictor, Constrictor constrictor	boa constrictor	a photo of a boa constrictor	a boa constrictor	un boa constrictor	una foto di un boa constrictor	62
n01744401	rock python, rock snake, Python sebae	rock python	a photo of a rock python	a rock python	un pitone delle rocce	una foto di un pitone delle rocce	63
n01748264	Indian cobra, Naja naja	Indian cobra	a photo of a Indian cobra	a Indian cobra	un cobra indiano	una foto di un cobra indiano	64
n01749939	green mamba	green mamba	a photo of a green mamba	a green mamba	un mamba verde	una foto di un mamba verde	65
n01751748	sea snake	sea snake	a photo of a sea snake	a sea snake	un serpente di mare	una foto di un serpente di mare	66
n01753488	horned viper, cerastes, sand viper, horned asp, Cerastes cornutus	horned viper	a photo of a horned viper	a horned viper	una vipera cornuta	una foto di una vipera cornuta	67
n01755581	diamondback, diamondback rattlesnake, Crotalus adamanteus	diamondback	a photo of a diamondback	a diamondback	un diamondback	una foto di un diamondback	68
